star_id,mission,label,orbital_period,transit_duration,transit_depth,planet_radius,impact_parameter,transit_snr,mes,stellar_teff,stellar_logg,stellar_radius,mag
4139816,Kepler,CONFIRMED,20.06036336,3.3203,1494.7,1.96,0.556,,,3950.0,4.754,0.493,15.954
4275191,Kepler,CONFIRMED,3.895936525,2.3111,8544.8,7.34,0.524,,,5557.0,4.592,0.774,15.725
4476123,Kepler,CONFIRMED,22.36646466,5.228,986.8,2.32,0.4,,,5395.0,4.615,0.734,15.583
3351888,Kepler,CONFIRMED,1.625522174,2.38963,7969.0,9.73,0.076,,,5539.0,4.322,1.106,15.001
3453214,Kepler,CANDIDATE,19.620346923,2.0038,21725.0,13.6,0.458,,,5710.0,4.492,0.905,15.562
3554600,Kepler,FALSE_POSITIVE,7.544039,6.222,322.6,17.47,1.175,,,5657.0,4.567,0.824,15.559
3641726,Kepler,CONFIRMED,9.02930689,3.1449,1019.8,2.57,0.024,,,5349.0,4.526,0.82,15.387
3734868,Kepler,FALSE_POSITIVE,10.328035714,7.7915,16918.0,13.28,0.281,,,5627.0,4.359,1.024,15.646
3832474,Kepler,CONFIRMED,143.2063047,8.9302,10566.0,8.9,0.379,,,5485.0,4.556,0.867,15.403
3836375,Kepler,FALSE_POSITIVE,1.540397253,2.1541,816.1,25.69,1.225,,,5663.0,4.53,0.915,15.974
3838486,Kepler,FALSE_POSITIVE,2.99025443,5.414,589.2,1.7,0.014,,,4667.0,4.578,0.731,15.842
3935914,Kepler,CONFIRMED,1.594745374,1.9604,15044.0,11.3,0.514,,,5934.0,4.491,0.893,15.53
3940418,Kepler,CONFIRMED,4.783002698,2.335,1008.7,2.5,0.003,,,5170.0,4.574,0.807,15.119
4049131,Kepler,CONFIRMED,20.50588921,4.0595,2105.5,3.41,0.26,,,4905.0,4.544,0.761,15.398
5287983,Kepler,FALSE_POSITIVE,2.507089906,2.0067,1339.2,30.26,1.255,,,5926.0,4.506,0.939,15.555
5358241,Kepler,CONFIRMED,18.64932728,4.4056,893.6,3.12,0.08,,,5775.0,4.405,1.053,15.386
10875245,Kepler,CONFIRMED,4.90144976,4.1654,140.7,1.7,0.529,,,5847.0,4.191,1.402,12.487
5358624,Kepler,CONFIRMED,3.525632539,2.59959,22335.0,11.58,0.12,,,5150.0,4.572,0.793,15.224
4544670,Kepler,CANDIDATE,34.84398644,2.9315,4523.6,7.61,0.934,,,5509.0,4.482,0.871,15.684
4664847,Kepler,CONFIRMED,7.748094239,3.5957,2472.1,5.52,0.517,,,5973.0,4.439,1.085,15.67
4725681,Kepler,CONFIRMED,23.96793669,3.827,1182.3,1.8,0.416,,,3747.0,4.728,0.524,15.414
