iter	Passed	Remaining
1119	21101	7159
1120	21121	7140
1121	21140	7122
1122	21157	7102
1123	21176	7083
1124	21194	7064
1125	21212	7045
1126	21230	7026
1127	21247	7007
1128	21266	6988
1129	21284	6969
1130	21302	6950
1131	21322	6931
1132	21339	6912
1133	21356	6892
1134	21373	6873
1135	21390	6853
1136	21409	6835
1137	21426	6815
1138	21444	6796
1139	21460	6777
1140	21478	6758
1141	21498	6739
1142	21514	6719
1143	21530	6700
1144	21546	6680
1145	21564	6661
1146	21581	6641
1147	21598	6622
1148	21615	6603
1149	21632	6583
1150	21651	6564
1151	21670	6546
1152	21688	6527
1153	21706	6508
1154	21724	6489
1155	21740	6469
1156	21758	6450
1157	21775	6431
1158	21792	6411
1159	21811	6392
1160	21828	6373
1161	21844	6354
1162	21862	6335
1163	21879	6315
1164	21901	6297
1165	21928	6281
1166	21948	6263
1167	21967	6244
1168	21984	6224
1169	22002	6205
1170	22020	6186
1171	22037	6167
1172	22054	6148
1173	22072	6129
1174	22088	6109
1175	22106	6090
1176	22123	6071
1177	22142	6052
1178	22159	6033
1179	22177	6014
1180	22195	5995
1181	22212	5975
1182	22230	5956
1183	22248	5938
1184	22267	5919
1185	22287	5900
1186	22305	5881
1187	22323	5862
1188	22340	5843
1189	22356	5824
1190	22373	5804
1191	22391	5785
1192	22408	5766
1193	22426	5747
1194	22443	5728
1195	22462	5709
1196	22479	5690
1197	22495	5670
1198	22511	5651
1199	22528	5632
1200	22545	5613
1201	22561	5593
1202	22578	5574
1203	22594	5554
1204	22610	5535
1205	22626	5516
1206	22645	5497
1207	22662	5477
1208	22678	5458
1209	22695	5439
1210	22712	5420
1211	22729	5401
1212	22746	5381
1213	22763	5362
1214	22782	5343
1215	22801	5325
1216	22818	5306
1217	22836	5287
1218	22853	5268
1219	22870	5249
1220	22888	5230
1221	22908	5211
1222	22927	5192
1223	22944	5173
1224	22962	5154
1225	22979	5135
1226	22995	5116
1227	23012	5097
1228	23029	5078
1229	23045	5058
1230	23062	5039
1231	23078	5020
1232	23095	5001
1233	23113	4982
1234	23130	4963
1235	23146	4943
1236	23162	4924
1237	23179	4905
1238	23196	4886
1239	23213	4867
1240	23230	4848
1241	23248	4829
1242	23266	4810
1243	23284	4791
1244	23302	4772
1245	23318	4753
1246	23335	4734
1247	23351	4715
